,Case Number,Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Provoked
3578,1966.05.20.b,1960's,Unprovoked,AUSTRALIA,New South Wales,Fishing,Undefined,0.0,Foot bitten,No,
3579,1966.05.20.a,1960's,Sea Disaster,AUSTRALIA,,Unknown,Undefined,38.0,"FATAL, other human remains bitten by sharks, 13 people missing",Yes,Unknown
3580,1966.05.16.b,1960's,Invalid,USA,Florida,Spearfishing / Scuba diving,Undefined,24.0,"White shark, 3.7 m [12']  made threat display. No injury, no attack",Unknown,Unknown
3581,1966.05.16.a,1960's,Sea Disaster,PHILIPPINES,,Unknown,Undefined,0.0,130 perished; 136 survived  including a man whose foot was severed by a shark,Yes,Unknown
3582,1966.04.0.a,1960's,Unprovoked,USA,Puerto Rico,Swimming,Undefined,25.0,Foot lacerated,No,
3583,1966.04.0.a,1960's,Sea Disaster,AUSTRALIA,New South Wales,Unknown,Undefined,0.0,Survived,No,Unknown
3584,1966.03.2.a,1960's,Provoked,AUSTRALIA,New South Wales,Fishing (big game),Unknown,0.0,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",No,Unknown
3585,1966.03.1.a,1960's,Sea Disaster,SUDAN,Red Sea,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",Undefined,0.0,FATAL,Yes,Unknown
3586,1966.02.2.a,1960's,Unprovoked,AUSTRALIA,New South Wales,Treading water,Undefined,13.0,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",No,
3587,1966.01.2.a,1960's,Provoked,SOUTH AFRICA,Western Cape Province,Helping men land a shark,Undefined,33.0,Left leg lacerated by hooked shark  PROVOKED INCIDENT,No,Unknown
3588,1966.01.2.a,1960's,Sea Disaster,INDONESIA,North Sumatra,Unknown,Unknown,0.0,Sharks said to have killed some of the 80 people lost,Yes,Unknown
3589,1966.01.2.a,1960's,Unprovoked,USA,California,Free diving / spearfishing (resting on the surface),Undefined,29.0,"Hand, arm & thigh bitten",No,
3590,1966.01.1.a,1960's,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,Undefined,30.0,Buttocks bitten,No,
3591,1966.01.1.a,1960's,Sea Disaster,COLUMBIA,,Unknown,Unknown,0.0,"10 survived, 51 perished. ",Yes,Unknown
3592,1966.01.1.a,1960's,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Standing,Undefined,16.0,Right calf lacerated,No,
3593,1966.01.1.a,1960's,Unprovoked,AUSTRALIA,Western Australia,Unknown,Undefined,43.0,"Lower leg nipped, arm bruised when he landed in boat",No,
3594,1966.01.0.a,1960's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body surfing,Undefined,15.0,Lower legs bitten,No,
3595,1966.01.0.a,1960's,Unprovoked,NEW ZEALAND,North Island,Body surfing ,Undefined,15.0,"FATAL, left leg bitten thigh to calf  ",Yes,
